Instance MapleLCMDistChrBT MapleLCMDistChrBt-DL-v1 MapleLCMDistChrBt-DL-v2
ex175_18.cnf 5000.03 2173.52 5000.02
course_flat_0.12_2018_3_3.cnf 5000.02 5000.02 5000.01
20180326_095801070_p_cnf_320_1120.cnf 5000.01 5000 5000.1
cz-alt-3-7.cnf 2482.69 4732.27 5000.02
7-5-6.cnf 5000.01 5000.01 5000.02
Nb45T6.cnf 1496.3 1344.48 1284.16
udiv35prop.cnf 2275.72 1721.45 1853.27
ex177_13.cnf 5000.02 5000.07 5000.02
e_rphp065_05.cnf 5000.01 5000.01 5000.01
sted5_0x1e3-20.cnf 5000.02 5000.02 5000.01
bibd-16-80-15-3-2_glb.cnf 51.1493 47.9805 46.0815
school1_nsh.col.14.cnf 5000.02 5000.01 5000.11
20180321_140833987_p_cnf_320_1120.cnf 5000.02 235.017 243.401
queen8_8.col.9.cnf 5000.02 5000.01 5000.02
20180321_110704973_p_cnf_320_1120.cnf 5000.01 5000.08 5000.02
20180326_095804936_p_cnf_320_1120.cnf 5000.02 5000 5000.01
prime_119218851371.cnf 112.533 108.11 103.528
sted1_0x24204-330.cnf 260.69 205.418 204.051
Nb14T194.cnf 5000.01 5000.07 5000.09
sdiv15prop.cnf 193.304 189.74 194.593
sted5_0x24204-50.cnf 342.344 351.39 342.984
mod8-bbd-zbd.rules.7-7.cnf 5000.02 5000.01 5000.1
8-5-6.cnf 5000.02 5000.01 5000.01
udiv45prop.cnf 5000.01 5000.1 5000.01
ex067_10.cnf 627.928 561.273 597.595
commutativity.c.cnf 5000.02 5000 5000.02
20180321_140823961_p_cnf_320_1120.cnf 5000.02 5000.08 5000.02
20180322_164226378_p_cnf_320_1120.cnf 5000.02 5000.07 5000
exams0.04_2017_9.cnf 5000.03 1360.34 1320.23
TimetableCNFEncoding_4_UNKNOWN.cnf 5000.01 5000.01 5000.01
Cake_8_16.cnf 5000.01 5000.01 5000.02
exam0.04_2018_3.cnf 4619.25 3862.01 3279.17
sted1_0x0-350.cnf 5000.01 5000 5000.01
course_flat_0.12_2018_3_1.cnf 2923.6 2593.35 2655.63
pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf 2123.68 2104.97 1961.02
ex009_10.cnf 5000.03 737.225 817.569
satcoin-genesis-SAT-4096.cnf 2586.33 2723.47 2620.04
apn-sbox5-cut3-symmbreak.cnf 5000.02 5000.01 5000.01
20180322_164238439_p_cnf_320_1120.cnf 5000.02 126.651 131.109
20180322_164224543_p_cnf_320_1120.cnf 5000.02 5000.1 5000.02
gto_p50c314_1.cnf 5000.02 5000 5000.09
20180321_140827428_p_cnf_320_1120.cnf 5000.01 5000.1 5000.01
sqrt_Householder_pseudoconstant_true-unreach-call.c.cnf 5000.01 5000.01 5000.11
sted1_0x0-420.cnf 5000.02 5000.01 5000.01
20180322_164241329_p_cnf_320_1120.cnf 5000.02 5000.1 5000.01
ad-A-3-7-17.cnf 5000.01 5000.02 5000.01
sted5_0x0-60.cnf 5000.01 5000 5000.02
course_flat_0.16_2018_3.cnf 5000.19 5000.01 5000.11
apn-sbox6-cut5-helpbox28.cnf 5000.01 3938.08 3726.14
gto_p50c345_1.cnf 5000.01 5000 5000
TimetableCNFEncoding_10_UNKNOWN.cnf 5000.01 5000.01 5000.01
ex051_9.cnf 5000.02 5000 5000.02
