Instance cominisatPS-DL cominisatPS
TimetableCNFEncoding_3_UNKNOWN.cnf 5000.02 5000.03
factoring29986577x29986577.cnf 1527.88 1182.76
ex157_10.cnf 905.198 847.057
T84.2.0.cnf 792.103 776.291
le450_15c.col.15.cnf 5000.01 5000.01
Problem14_label57_false-unreach-call.c.cnf 131.811 167.858
20180322_164241842_p_cnf_320_1120.cnf 5000.02 5000.15
uniqinv46prop.cnf 5000.01 5000.02
less-cy-caa.rules.6-4.cnf 5000.01 5000.01
20180326_095804936_p_cnf_320_1120.cnf 5000.01 5000.01
20180322_164223076_p_cnf_320_1120.cnf 5000.01 5000.01
satcoin-genesis-SAT-128.cnf 5000.01 5000.01
8-4-10.cnf 5000.03 5000.01
less-cy-caa.rules.4-9.cnf 5000.01 5000.01
uniqinv25prop.cnf 4645.16 5000.01
e_rphp056_05.cnf 5000.01 5000.15
Nb39T6.cnf 2300.36 3357.54
mchess_20.cnf 5000.01 5000.01
bx-d-4-7-8.cnf 5000.02 5000.01
exam0.04_2018_3.cnf 4305.82 468.694
Nb13T166.cnf 6.27655 9.5126
ecarev-110-1031-23-40-8.cnf 517.996 636.818
apn-sbox5-cut5-symmbreak.cnf 5000.01 5000.01
course0.12_2018_3_3.cnf 5000.01 5000.01
satcoin-genesis-SAT-2048.cnf 5000.01 5000.01
ecarev-110-1031-23-40-7.cnf 266.979 183.082
bz-X-4-7-6.cnf 5000.01 5000.01
a_rphp056_05.cnf 5000.01 5000.01
T96.2.0.cnf 1239.24 1324.18
20180321_110707239_p_cnf_320_1120.cnf 5000.01 5000.12
sted1_0x0-380.cnf 5000.01 5000.01
apn-sbox6-cut4-helpbox30.cnf 701.845 1585.64
apn-sbox6-cut5-helpbox29.cnf 1348.85 2140
ramsey-30-4.cnf 0.900648 0.842119
20180322_164241329_p_cnf_320_1120.cnf 5000.01 5000.02
pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf 895.938 1094.92
dist5.c.cnf 362.324 321.392
exams_flat_0.04_2017_9.cnf 5000.01 5000.01
apn-sbox6-cut4-helpbox31.cnf 3197.17 444.053
cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf 831.319 1394.52
sted1_0x1e3-100.cnf 5000.02 5000.02
a_rphp055_04.cnf 296.328 289.505
TimetableCNFEncoding_2_UNKNOWN.cnf 5000.04 5000.02
si2-b06m-m1000-03.cnf 160.292 165.926
ex025_19.cnf 5000.01 5000.01
dist9.c.cnf 456.772 310.738
ae_rphp095_04.cnf 5000.02 5000.01
Nb42T6.cnf 3313.65 3595.44
Nb8T61.cnf 5000.01 5000.02
course0.2_2018_3_5.cnf 293.957 233.984
gto_p60c239.cnf 117.403 119.273
TimetableCNFEncoding_20_UNKNOWN.cnf 28.5843 24.4171
T105.2.0.cnf 646.193 969.648
cms-scheel-md4-families-r24-c4-p4-9-13-18.cnf 5000.01 2153.87
course0.12_2018_3_1.cnf 1540.02 3048.83
apn-sbox6-cut3-helpbox29.cnf 2867.34 3277.26
sted5_0x1e3-20.cnf 5000.01 5000.01
sted5_0x1e3-40.cnf 5000.01 5000.01
ae_rphp062_05.cnf 5000.01 5000.01
gto_p50c314_1.cnf 5000.01 5000.01
apn-sbox6-cut4-helpbox29.cnf 3042.73 5000.02
udiv48prop.cnf 5000.02 5000.01
gto_p60c343.cnf 5000.01 5000.01
Problem11_label51_false-unreach-call.c.cnf 2757.69 1379.12
8-5-6.cnf 5000.02 5000.01
course_flat_0.12_2018_3_3.cnf 5000.01 5000.01
sqrt_Householder_pseudoconstant_true-unreach-call.c.cnf 5000.01 5000.34
20180322_164226661_p_cnf_320_1120.cnf 5000.02 5000.01
satcoin-genesis-SAT-32.cnf 5000.01 5000.01
TimetableCNFEncoding_1_UNKNOWN.cnf 5000.01 5000.01
udiv45prop.cnf 5000.01 5000.01
sdiv40prop.cnf 5000.01 5000.01
TimetableCNFEncoding_4_UNKNOWN.cnf 5000.01 5000.02
e_rphp096_04.cnf 5000.01 5000.01
10-4-10.cnf 5000.03 5000.01
sted1_0x1e3-300.cnf 5000.01 5000.01
sted5_0x0-60.cnf 5000.01 5000.02
Cake_9_20.cnf 5000.01 5000.01
exams0.04_2017_9.cnf 5000.01 5000.01
sted5_0x0-70.cnf 5000.02 5000.15
apn-sbox5-cut4-symmbreak.cnf 5000.01 5000.02
20180322_164224543_p_cnf_320_1120.cnf 5000.01 5000.01
20180326_095804286_p_cnf_320_1120.cnf 5000.01 5000.01
6-4-6.cnf 5000.01 5000.02
ex045_7.cnf 5000.01 5000.16
sdiv30prop.cnf 5000.01 5000.02
course0.12_2018_3_5.cnf 5000.02 5000.01
ex145_11.cnf 5000.01 5000.03
mp1-21.5.cnf 5.07907 128.399
g2-ak128modbtbg1asisc.cnf 5.18709 9.89165
mp1-21.0.cnf 28.4622 258.303
mp1-ps_5000_21250_3_0_0.8_0_1.50_0.cnf 42.3044 51.1976
mp1-Nb5T06.cnf 45.0341 44.2123
mp1-blockpuzzle_7x10_s7_free8.cnf 50.7001 717.892
mp1-9_38.cnf 82.7094 254.053
g2-mizh-md5-47-5.cnf 355.568 481.653
mp1-squ_any_s09x07_c27_sinx_UNS.cnf 372.251 457.179
mp1-rubikcube401.cnf 484.379 406.136
mp1-9_50.cnf 487.445 1800.87
mp1-tri_ali_s11_c35_sinx_UNS.cnf 27.2469 24.463
mp1-9_29.cnf 443.034 344.749
g2-T112.1.0.cnf 1011.15 1672.22
mp1-squ_ali_s10x10_c39_sinz_SAT.cnf 92.9135 53.1535
