Instance MapleLCMDistChrBT MapleLCMDistChrBt-DL-v1 MapleLCMDistChrBt-DL-v2
mp1-9_31.cnf 5000.01 1884.44 1977.71
g2-ak128boothdiagoaig.cnf 5000.01 5000.01 5000.01
mp1-rubikcube720.cnf 5000.01 5000.01 5000.01
mp1-blockpuzzle_9x9_s7_free8.cnf 5000.01 5000.01 5000.01
g2-T108.2.1.cnf 5000.02 5000.26 5000.03
mp1-9_50.cnf 3813.32 3091.58 2780.53
mp1-ps_5000_21250_3_0_0.6_0_1.45_6.cnf 5000.01 5000.25 5000.02
mp1-blockpuzzle_5x10_s3_free4.cnf 203.498 219.341 221.384
g2-T99.2.0.cnf 40.3967 41.2686 41.4766
mp1-rubikcube301.cnf 357.555 328.293 343.781
g2-hwmcc15deep-bobpcihm-k30.cnf 5000.01 5000.26 5000.01
mp1-ps_5000_21250_3_0_0.7_0_1.45_8.cnf 5000 5000.01 5000.01
g2-slp-synthesis-aes-top30.cnf 167.526 193.939 193.179
mp1-squ_ali_s10x10_c39_bail_SAT.cnf 255.692 357.425 367.524
mp1-rubikcube512.cnf 2956.68 2251.3 2226.25
g2-hwmcc15deep-beemfwt4b1-k48.cnf 5000.01 5000.03 5000.02
mp1-bsat210-739.cnf 356.12 285.48 271.931
g2-Sz512_15128_1.smt2-cvc4.cnf 394.6 2498.45 3592.82
mp1-ps_5000_21250_3_0_0.8_0_1.50_6.cnf 57.7724 57.6644 55.6556
g2-hwmcc15deep-6s366r-k72.cnf 3527.9 3425.39 3596.52
g2-T169.1.0.cnf 165.344 184.708 181.971
mp1-squ_any_s09x07_c27_bail_UNS.cnf 415.813 362.462 379.592
mp1-Nb7T46.cnf 5000.01 5000.01 5000.01
g2-hwmcc15deep-intel065-k11.cnf 5000.02 5000.02 5000.02
g2-T88.2.1.cnf 487.647 427.208 428.806
g2-hwmcc15deep-6s33-k34.cnf 1287.47 1183.87 1237.88
g2-ACG-20-5p1.cnf 405.428 459.174 438.204
g2-hwmcc15deep-6s516r-k18.cnf 5000.02 5000.02 5000.11
mp1-klieber2017s-1600-023-eq.cnf 1605.09 1577.23 1624.78
mp1-squ_ali_s10x10_c39_sinx_SAT.cnf 190.895 18.8185 18.6415
g2-mizh-md5-48-2.cnf 1326.79 410.525 411.494
g2-ak128astepmodbtisc.cnf 5000.01 5000.01 5000.01
g2-ACG-20-10p1.cnf 1866.33 1543.65 1437.87
g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf 530.778 470.185 444.017
g2-ak128astepbg2msisc.cnf 3855.71 5000.02 5000.01
g2-T55.2.0.cnf 149.049 146.09 146.983
mp1-22.0.cnf 2229.47 610.142 624.334
mp1-ps_5000_21250_3_0_0.8_0_1.50_4.cnf 110.327 105.776 106.619
g2-UR-20-10p1.cnf 1474.45 2111.03 2128.24
mp1-Nb6T30.cnf 5000.01 262.844 261.019
mp1-squ_any_s09x07_c27_abio_UNS.cnf 496.72 447.428 493.957
mp1-Nb7T44.cnf 5000.01 5000.01 5000.01
mp1-klieber2017s-0500-024-t12.cnf 292.642 438.66 463.779
mp1-blockpuzzle_9x9_s8_free7.cnf 2583.63 3038.02 2990.65
g2-hwmcc15deep-beemhanoi4b1-k32.cnf 4156.6 3829.86 4377.37
mp1-9_34.cnf 1592.56 962.034 949.049
g2-hwmcc15deep-beemloyd3b1-k31.cnf 2198.61 2992.86 3874.05
g2-T112.1.0.cnf 515.542 454.789 493.284
g2-ak128modbtsimpbaig.cnf 5000.01 5000.01 5000.01
g2-modgen-n200-m90860q08c40-6967.cnf 5000.02 929.6 940.289
mp1-ps_5000_21250_3_0_0.8_0_1.60_2.cnf 5000.01 5000.25 5000.01
mp1-ps_5000_21250_3_0_0.6_0_1.50_0.cnf 5000 5000.01 5000.01
mp1-22.1.cnf 494.156 2287.43 2208.28
mp1-9_27.cnf 196.697 44.1208 49.7359
mp1-ps_5000_21250_3_0_0.7_0_1.45_2.cnf 5000 5000.01 5000.01
mp1-Nb7T08.cnf 5000.02 5000.01 5000.02
g2-T93.2.1.cnf 726.008 591.977 599.592
mp1-9_25.cnf 4082.81 5000.01 5000.03
mp1-9_49.cnf 819.574 547.117 525.654
